Country,EdLevel,YearsExperience,DevType,AnualSalary
France,Master’s degree,5.0,Data scientist or machine learning specialist,48644.0
France,Master’s degree,1.0,Data scientist or machine learning specialist,34591.0
France,Postgraduate,3.0,Data scientist or machine learning specialist,32429.0
France,Master’s degree,5.0,Data scientist or machine learning specialist,44536.0
France,Postgraduate,4.0,Data scientist or machine learning specialist,22056.0
France,Master’s degree,5.0,Data scientist or machine learning specialist,64859.0
France,Postgraduate,17.0,Data scientist or machine learning specialist,55776.0
France,Master’s degree,2.0,Data scientist or machine learning specialist,37834.0
France,Postgraduate,6.0,Data scientist or machine learning specialist,56211.0
France,Postgraduate,5.0,Data scientist or machine learning specialist,54049.0
France,Master’s degree,5.0,Data scientist or machine learning specialist,81074.0
France,Master’s degree,4.0,Data scientist or machine learning specialist,45401.0
France,Master’s degree,21.0,Data scientist or machine learning specialist,59454.0
France,Master’s degree,2.0,Data scientist or machine learning specialist,38915.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,55130.0
France,Master’s degree,7.0,Data scientist or machine learning specialist,51887.0
France,Postgraduate,2.0,Data scientist or machine learning specialist,46482.0
France,Master’s degree,1.0,Data scientist or machine learning specialist,41077.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,62697.0
France,Master’s degree,17.0,Data scientist or machine learning specialist,82155.0
France,Postgraduate,15.0,Data scientist or machine learning specialist,48644.0
France,Master’s degree,2.0,Data scientist or machine learning specialist,35672.0
France,Master’s degree,6.0,Data scientist or machine learning specialist,48644.0
France,Postgraduate,8.0,Data scientist or machine learning specialist,37834.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,56211.0
France,Master’s degree,5.0,Data scientist or machine learning specialist,70264.0
France,Master’s degree,2.0,Data scientist or machine learning specialist,18156.0
France,Postgraduate,7.0,Data scientist or machine learning specialist,84316.0
France,Postgraduate,3.0,Data scientist or machine learning specialist,22704.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,32424.0
France,Master’s degree,2.0,Data scientist or machine learning specialist,37834.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,48644.0
France,Master’s degree,1.0,Data scientist or machine learning specialist,58373.0
France,Master’s degree,2.0,Data scientist or machine learning specialist,26100.0
France,Master’s degree,8.0,Data scientist or machine learning specialist,45401.0
France,Master’s degree,5.0,Data scientist or machine learning specialist,61616.0
France,Master’s degree,1.0,Data scientist or machine learning specialist,23352.0
France,Master’s degree,4.0,Data scientist or machine learning specialist,64859.0
France,Postgraduate,5.0,Data scientist or machine learning specialist,59454.0
France,Postgraduate,15.0,Data scientist or machine learning specialist,35676.0
France,Postgraduate,1.0,Data scientist or machine learning specialist,18156.0
France,Postgraduate,11.0,Data scientist or machine learning specialist,70264.0
France,Postgraduate,3.0,Data scientist or machine learning specialist,34591.0
France,Master’s degree,0.5,Data scientist or machine learning specialist,19452.0
France,Master’s degree,5.0,Data scientist or machine learning specialist,63778.0
France,Postgraduate,6.0,Data scientist or machine learning specialist,64859.0
Switzerland,Master’s degree,6.0,Data scientist or machine learning specialist,43908.0
Switzerland,Master’s degree,1.0,Data scientist or machine learning specialist,116896.0
Switzerland,Postgraduate,2.0,Data scientist or machine learning specialist,106731.0
Switzerland,Master’s degree,6.0,Data scientist or machine learning specialist,116896.0
Switzerland,Postgraduate,10.0,Data scientist or machine learning specialist,60984.0
Switzerland,Master’s degree,5.0,Data scientist or machine learning specialist,145358.0
Switzerland,Master’s degree,5.0,Data scientist or machine learning specialist,101649.0
Switzerland,Master’s degree,3.0,Data scientist or machine learning specialist,43908.0
Switzerland,Postgraduate,0.5,Data scientist or machine learning specialist,121979.0
Switzerland,Master’s degree,5.0,Data scientist or machine learning specialist,95148.0
Switzerland,Postgraduate,5.0,Data scientist or machine learning specialist,89451.0
Switzerland,Master’s degree,7.0,Data scientist or machine learning specialist,92907.0
Switzerland,Master’s degree,30.0,Data scientist or machine learning specialist,121979.0
Switzerland,Postgraduate,10.0,Data scientist or machine learning specialist,137226.0
Switzerland,Postgraduate,7.0,Data scientist or machine learning specialist,83352.0
Switzerland,Postgraduate,10.0,Data scientist or machine learning specialist,152473.0
Switzerland,Master’s degree,20.0,Data scientist or machine learning specialist,152473.0
Switzerland,Postgraduate,12.0,Data scientist or machine learning specialist,100464.0
Switzerland,Bachelor’s degree,3.0,Data scientist or machine learning specialist,150000.0
Switzerland,Postgraduate,1.0,Data scientist or machine learning specialist,85380.0
Switzerland,Postgraduate,1.0,Data scientist or machine learning specialist,40248.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,22.0,Data scientist or machine learning specialist,71093.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,Data scientist or machine learning specialist,74970.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Data scientist or machine learning specialist,129259.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Data scientist or machine learning specialist,77556.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,9.0,Data scientist or machine learning specialist,94359.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,10.0,Data scientist or machine learning specialist,139600.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Data scientist or machine learning specialist,31020.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,Data scientist or machine learning specialist,103408.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.5,Data scientist or machine learning specialist,93067.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,Data scientist or machine learning specialist,69800.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,10.0,Data scientist or machine learning specialist,103408.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Data scientist or machine learning specialist,52996.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Data scientist or machine learning specialist,49119.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Data scientist or machine learning specialist,41363.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,14.0,Data scientist or machine learning specialist,43948.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,Data scientist or machine learning specialist,43686.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,20.0,Data scientist or machine learning specialist,52996.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.5,Data scientist or machine learning specialist,98237.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,8.0,Data scientist or machine learning specialist,89189.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,23.0,Data scientist or machine learning specialist,77556.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Data scientist or machine learning specialist,78848.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,2.0,Data scientist or machine learning specialist,31020.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,3.0,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Data scientist or machine learning specialist,77556.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,3.0,Data scientist or machine learning specialist,54289.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,14.0,Data scientist or machine learning specialist,82080.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,7.0,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,6.0,Data scientist or machine learning specialist,49119.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,13.0,Data scientist or machine learning specialist,109871.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,Data scientist or machine learning specialist,51704.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Data scientist or machine learning specialist,77556.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Data scientist or machine learning specialist,41363.0
United Kingdom of Great Britain and Northern Ireland,Postgraduate,7.0,Data scientist or machine learning specialist,71093.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,1.0,Data scientist or machine learning specialist,46533.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Data scientist or machine learning specialist,77556.0
